N \ P |            1 |            2 |            3 |            4 |            5 |            6 |            7 |            8 |            9 |           10 |           11 |           12 |           13 |           14 |           15 |           16 |           17 |           18 |           19 |           20 |           21 |           22 |           23 |           24 |           25 |           26 |           27 |           28 |           29 |           30 |           31 |           32 |           33 |           34 |           35 |           36 |           37 |           38 |           39 |           40 |           41 |           42 |
   11 |              |              |              |              |              |              | *Zz-18⁻ 0.08 |  Dx-19⁻ 0.52 |  Pm-20⁻ 0.72 |   M-21∙ 1.9  |  Fw-22⁺ 0.83 |  Pt-23⁺ 0.79 |   S-24⁺ 0.611| *Zq-25⁺ 0.43 | *Xc-26⁺ 0.23 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   12 |              |              |              |              |              |              |              | *Dx-20⁻ 0.28 |  Pm-21⁻ 0.6  |   M-22∙ 1.84 |  Fw-23∙ 1.79 |  Pt-24∙ 1.79 |   S-25⁺ 0.78 |  Zq-26⁺ 0.70 | *Xc-27⁺ 0.57 | *Gy-28⁺ 0.27 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   13 |              |              |              |              |              |              |              |              | *Pm-22⁻ 0.36 |   M-23⁻ 0.76 |  Fw-24⁻ 0.81 |  Pt-25ª 0.89 |   S-26ª 0.85 |  Zq-27⁺ 0.83 |  Xc-28⁺ 0.76 | *Gy-29⁺ 0.53 |  *D-30⁺ 0.26 | *Fj-31⁺ 0.03 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   14 |              |              |              |              |              |              |              |              | *Pm-23⁻ 0.14 |  *M-24⁻ 0.61 |  Fw-25⁻ 0.73 |  Pt-26∙ 1.81 |   S-27ª 0.93 |  Zq-28⁺ 0.95 |  Xc-29⁺ 0.93 |  Gy-30⁺ 0.757|  *D-31⁺ 0.56 | *Fj-32⁺ 0.39 |  *O-33⁺ 0.13 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   15 |              |              |              |              |              |              |              |              |              |  *M-25⁻ 0.35 |  Fw-26⁻ 0.63 |  Pt-27⁻ 0.86 |   S-28∙ 1.92 |  Zq-29∙ 1.03 |  Xc-30∙ 1.99 |  Gy-31⁺ 0.95 |   D-32⁺ 0.81 | *Fj-33⁺ 0.68 |  *O-34⁺ 0.47 |  *C-35⁺ 0.28 |  *E-36⁺ 0.02 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   16 |              |              |              |              |              |              |              |              |              |  *M-26⁻ 0.12 | *Fw-27⁻ 0.38 |  Pt-28⁻ 0.67 |   S-29⁻ 0.82 |  Zq-30⁻ 0.95 |  Xc-31∙ 1.04 |  Gy-32⁺ 0.96 |   D-33⁺ 0.87 |  Fj-34⁺ 0.79 |  *O-35⁺ 0.62 |  *C-36⁺ 0.47 |  *E-37⁺ 0.25 |  *A-38⁺ 0.12 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   17 |              |              |              |              |              |              |              |              |              |              | *Fw-28⁻ 0.12 | *Pt-29⁻ 0.44 |   S-30⁻ 0.65 |  Zq-31⁻ 0.85 |  Xc-32∙ 1    |  Gy-33∙ 1.94 |   D-34⁺ 0.9  |  Fj-35⁺ 0.85 |   O-36⁺ 0.73 |  *C-37⁺ 0.61 |  *E-38⁺ 0.46 |  *A-39⁺ 0.37 | *Aw-40⁺ 0.06 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   18 |              |              |              |              |              |              |              |              |              |              |              | *Pt-30⁻ 0.26 |  *S-31⁻ 0.51 |  Zq-32⁻ 0.77 |  Xc-33⁻ 0.96 |  Gy-34∙ 1.95 |   D-35ª 0.95 |  Fj-36ª 0.93 |   O-37ª 0.85 |   C-38⁺ 0.78 |  *E-39⁺ 0.66 |  *A-40⁺ 0.61 | *Aw-41⁺ 0.33 | *Oc-42⁺ 0.12 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   19 |              |              |              |              |              |              |              |              |              |              |              | *Pt-31⁻ 0    |  *S-32⁻ 0.31 | *Zq-33⁻ 0.61 |  Xc-34⁻ 0.85 |  Gy-35⁻ 0.9  |   D-36ª 0.92 |  Fj-37ª 0.94 |   O-38ª 0.89 |   C-39⁺ 0.86 |   E-40⁺ 0.78 |  *A-41⁺ 0.76 | *Aw-42⁺ 0.51 | *Oc-43⁺ 0.33 | *Nb-44⁺ 0.13 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   20 |              |              |              |              |              |              |              |              |              |              |              |              |  *S-33⁻ 0.12 | *Zq-34⁻ 0.46 | *Xc-35⁻ 0.74 |  Gy-36⁻ 0.84 |   D-37⁻ 0.89 |  Fj-38ª 0.96 |   O-39ª 0.95 |   C-40⁺ 0.94 |   E-41⁺ 0.89 |   A-42⁺ 0.9  | *Aw-43⁺ 0.69 | *Oc-44⁺ 0.54 | *Nb-45⁺ 0.36 | *Xk-46⁺ 0.23 | *Ic-47⁺ 0.1  |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   21 |              |              |              |              |              |              |              |              |              |              |              |              |              | *Zq-35⁻ 0.25 | *Xc-36⁻ 0.57 | *Gy-37⁻ 0.7  |   D-38⁻ 0.83 |  Fj-39ª 0.93 |   O-40ª 0.96 |   C-41⁺ 0.98 |   E-42⁺ 0.94 |   A-43⁺ 0.98 |  Aw-44⁺ 0.79 | *Oc-45⁺ 0.7  | *Nb-46⁺ 0.55 | *Xk-47⁺ 0.41 | *Ic-48⁺ 0.32 | *Yp-49⁺ 0.06 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   22 |              |              |              |              |              |              |              |              |              |              |              |              |              | *Zq-36⁻ 0.15 | *Xc-37⁻ 0.42 | *Gy-38⁻ 0.67 |   D-39⁻ 0.83 |  Fj-40∙ 1.94 |   O-41∙ 1.03 |   C-42∙ 1.08 |   E-43∙ 1.07 |   A-44∙ 1.05 |  Aw-45⁺ 0.98 |  Oc-46⁺ 0.91 |  Nb-47⁺ 0.79 | *Xk-48⁺ 0.68 | *Ic-49⁺ 0.52 | *Yp-50⁺ 0.37 | *Jx-51⁺ 0.18 | *Hb-52⁺ 0.01 |              |              |              |              |              |              |              |              |              |              |              |              |
   23 |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Xc-38⁻ 0.21 | *Gy-39⁻ 0.41 |  *D-40⁻ 0.6  |  Fj-41⁻ 0.78 |   O-42⁻ 0.87 |   C-43⁻ 0.95 |   E-44⁻ 0.97 |   A-45∙ 1.07 |  Aw-46⁺ 0.94 |  Oc-47⁺ 0.89 |  Nb-48⁺ 0.8  | *Xk-49⁺ 0.71 | *Ic-50⁺ 0.66 | *Yp-51⁺ 0.45 | *Jx-52⁺ 0.29 | *Hb-53⁺ 0.13 |              |              |              |              |              |              |              |              |              |              |              |              |
   24 |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Xc-39⁻ 0.03 | *Gy-40⁻ 0.26 |  *D-41⁻ 0.45 | *Fj-42⁻ 0.65 |   O-43⁻ 0.78 |   C-44⁻ 0.89 |   E-45⁻ 0.96 |   A-46∙ 1.08 |  Aw-47⁺ 0.98 |  Oc-48⁺ 0.93 |  Nb-49ª 0.86 |  Xk-50⁺ 0.83 |  Ic-51⁺ 0.803| *Yp-52⁺ 0.61 | *Jx-53⁺ 0.44 | *Hb-54⁺ 0.3  | *At-55⁺ 0.13 |              |              |              |              |              |              |              |              |              |              |              |
   25 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Gy-41⁻ 0.05 |  *D-42⁻ 0.28 | *Fj-43⁻ 0.51 |  *O-44⁻ 0.66 |   C-45⁻ 0.8  |   E-46⁻ 0.9  |   A-47∙ 1.05 |  Aw-48ª 0.97 |  Oc-49ª 0.95 |  Nb-50ª 0.9  |  Xk-51ª 0.89 |  Ic-52⁺ 0.889| *Yp-53⁺ 0.72 | *Jx-54⁺ 0.57 | *Hb-55⁺ 0.45 | *At-56⁺ 0.3  | *Ny-57⁺ 0.16 |              |              |              |              |              |              |              |              |              |              |
   26 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *D-43⁻ 0.15 | *Fj-44⁻ 0.4  |  *O-45⁻ 0.58 |  *C-46⁻ 0.75 |   E-47⁻ 0.84 |   A-48∙ 1.02 |  Aw-49∙ 1.94 |  Oc-50∙ 1    |  Nb-51ª 0.97 |  Xk-52⁺ 0.95 |  Ic-53⁺ 0.973|  Yp-54⁺ 0.827| *Jx-55⁺ 0.72 | *Hb-56⁺ 0.62 | *At-57⁺ 0.49 | *Ny-58⁺ 0.37 | *Pw-59⁺ 0.21 | *Gk-61⁺ 0.06 |              |              |              |              |              |              |              |              |
   27 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *D-44⁻ 0.03 | *Fj-45⁻ 0.31 |  *O-46⁻ 0.52 |  *C-47⁻ 0.71 |   E-48⁻ 0.83 |   A-49⁻ 0.94 |  Aw-50∙ 1    |  Oc-51∙ 1.05 |  Nb-52∙ 1.05 |  Xk-53∙ 1.05 |  Ic-54∙ 1.011|  Yp-55⁺ 0.968|  Jx-56⁺ 0.885|  Hb-57⁺ 0.807| *At-58⁺ 0.69 | *Ny-59⁺ 0.58 | *Pw-60⁺ 0.44 | *Gk-62⁺ 0.31 | *Qi-62⁺ 0.15 | *Xy-63⁺ 0.0  |              |              |              |              |              |              |
   28 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Fj-46⁻ 0.07 |  *O-47⁻ 0.3  |  *C-48⁻ 0.51 |  *E-49⁻ 0.66 |   A-50⁻ 0.88 |  Aw-51⁻ 0.87 |  Oc-52⁻ 0.95 |  Nb-53⁻ 0.97 |  Xk-54⁻ 0.99 |  Ic-55∙ 1.051|  Yp-56⁺ 0.944|  Jx-57⁺ 0.879|  Hb-58ª 0.819| *At-59⁺ 0.72 | *Ny-60⁺ 0.63 | *Pw-61⁺ 0.5  | *Gk-63⁺ 0.39 | *Qi-63⁺ 0.24 | *Xy-64⁺ 0.11 |              |              |              |              |              |              |
   29 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *O-48⁻ 0.1  |  *C-49⁻ 0.33 |  *E-50⁻ 0.53 |  *A-51⁻ 0.77 |  Aw-52⁻ 0.79 |  Oc-53⁻ 0.86 |  Nb-54ª 0.9  |  Xk-55⁻ 0.97 |  Ic-56∙ 1.051|  Yp-57⁺ 0.961|  Jx-58⁺ 0.888|  Hb-59ª 0.845|  At-60⁺ 0.766|  Ny-61⁺ 0.693| *Pw-62⁺ 0.58 | *Gk-64⁺ 0.48 | *Qi-64⁺ 0.35 | *Xy-65⁺ 0.23 | *Gq-66⁺ 0.08 |              |              |              |              |              |
   30 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *C-50⁻ 0.2  |  *E-51⁻ 0.42 |  *A-52⁻ 0.68 | *Aw-53⁻ 0.72 |  Oc-54⁻ 0.8  |  Nb-55⁻ 0.86 |  Xk-56⁻ 0.95 |  Ic-57∙ 1.053|  Yp-58ª 0.982|  Jx-59ª 0.926|  Hb-60ª 0.887|  At-61ª 0.825|  Ny-62ª 0.767| *Pw-63⁺ 0.67 | *Gk-65⁺ 0.59 | *Qi-65⁺ 0.47 | *Xy-66⁺ 0.36 | *Gq-67⁺ 0.23 | *Bt-68⁺ 0.1  |              |              |              |              |
   31 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *C-51⁻ 0.03 |  *E-52⁻ 0.27 |  *A-53⁻ 0.55 | *Aw-54⁻ 0.61 | *Oc-55⁻ 0.71 |  Nb-56⁻ 0.79 |  Xk-57⁻ 0.9  |  Ic-58∙ 1.019|  Yp-59⁺ 0.966|  Jx-60ª 0.928|  Hb-61ª 0.905|  At-62ª 0.851|  Ny-63⁺ 0.809|  Pw-64⁺ 0.734|  Gk-66⁺ 0.664| *Qi-66⁺ 0.56 | *Xy-67⁺ 0.47 | *Gq-68⁺ 0.34 | *Bt-69⁺ 0.24 |  *H-70⁺ 0.11 |  *U-71⁺ 0.01 |              |              |
   32 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *E-53⁻ 0.13 |  *A-54⁻ 0.43 | *Aw-55⁻ 0.51 | *Oc-56⁻ 0.63 | *Nb-57⁻ 0.73 |  Xk-58⁻ 0.85 |  Ic-59∙ 1.982|  Yp-60∙ 1.910|  Jx-61ª 0.934|  Hb-62ª 0.927|  At-63ª 0.889|  Ny-64⁺ 0.856|  Pw-65⁺ 0.796|  Gk-66⁺ 0.740|  Qi-67⁺ 0.654| *Xy-68⁺ 0.57 | *Gq-69⁺ 0.47 | *Bt-70⁺ 0.37 |  *H-71⁺ 0.26 |  *U-72⁺ 0.17 | *Sq-73⁺ 0.11 |              |
   33 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *A-55⁻ 0.28 | *Aw-56⁻ 0.38 | *Oc-57⁻ 0.52 | *Nb-58⁻ 0.64 |  Xk-59⁻ 0.78 |  Ic-60⁻ 0.930|  Yp-61⁻ 0.911|  Jx-62ª 0.906|  Hb-63ª 0.915|  At-64ª 0.892|  Ny-65ª 0.875|  Pw-66⁺ 0.825|  Gk-67⁺ 0.784|  Qi-68⁺ 0.712|  Xy-69⁺ 0.649| *Gq-70⁺ 0.55 | *Bt-71⁺ 0.47 |  *H-72⁺ 0.37 |  *U-73⁺ 0.3  | *Sq-74⁺ 0.25 | *Ua-75⁺ 0.04 |
   34 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |  *A-56⁻ 0.15 | *Aw-57⁻ 0.26 | *Oc-58⁻ 0.42 | *Nb-59⁻ 0.55 | *Xk-60⁻ 0.71 |  Ic-61⁻ 0.878|  Yp-62⁻ 0.874|  Jx-63⁻ 0.884|  Hb-64ª 0.908|  At-65ª 0.900|  Ny-66ª 0.897|  Pw-67ª 0.862|  Gk-68⁺ 0.831|  Qi-69⁺ 0.775|  Xy-70⁺ 0.724|  Gq-71⁺ 0.648| *Bt-72⁺ 0.58 |  *H-73⁺ 0.49 |  *U-74⁺ 0.42 | *Sq-75⁺ 0.38 | *Ua-76⁺ 0.19 |
   35 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Aw-58⁻ 0.11 | *Oc-59⁻ 0.28 | *Nb-60⁻ 0.44 | *Xk-61⁻ 0.61 | *Ic-62⁻ 0.79 |  Yp-63⁻ 0.806|  Jx-64⁻ 0.832|  Hb-65ª 0.870|  At-66ª 0.878|  Ny-67ª 0.888|  Pw-68ª 0.867|  Gk-69ª 0.853|  Qi-70⁺ 0.807|  Xy-71⁺ 0.770|  Gq-72⁺ 0.706|  Bt-73⁺ 0.650|  *H-74⁺ 0.57 |  *U-75⁺ 0.51 | *Sq-76⁺ 0.49 | *Ua-77⁺ 0.31 |
   36 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Oc-60⁻ 0.17 | *Nb-61⁻ 0.33 | *Xk-62⁻ 0.52 | *Ic-63⁻ 0.72 | *Yp-64⁻ 0.74 |  Jx-65⁻ 0.787|  Hb-66ª 0.840|  At-67ª 0.861|  Ny-68ª 0.885|  Pw-69ª 0.881|  Gk-70ª 0.879|  Qi-71⁺ 0.847|  Xy-72⁺ 0.818|  Gq-73⁺ 0.766|  Bt-74⁺ 0.722|   H-75⁺ 0.657|  *U-76⁺ 0.61 | *Sq-77⁺ 0.59 | *Ua-78⁺ 0.42 |
   37 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Oc-61⁻ 0.02 | *Nb-62⁻ 0.2  | *Xk-63⁻ 0.4  | *Ic-64⁻ 0.61 | *Yp-65⁻ 0.65 | *Jx-66⁻ 0.71 |  Hb-67ª 0.781|  At-68⁻ 0.816|  Ny-69ª 0.859|  Pw-70ª 0.868|  Gk-71ª 0.879|  Qi-72ª 0.860|  Xy-73⁺ 0.842|  Gq-74⁺ 0.798|  Bt-75⁺ 0.840|   H-76⁺ 0.711|  *U-77⁺ 0.67 | *Sq-78⁺ 0.67 | *Ua-79⁺ 0.51 |
   38 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Nb-63⁻ 0.08 | *Xk-64⁻ 0.3  | *Ic-65⁻ 0.52 | *Yp-66⁻ 0.58 | *Jx-67⁻ 0.65 | *Hb-68⁻ 0.72 |  At-69⁻ 0.786|  Ny-70⁻ 0.842|  Pw-71⁻ 0.864|  Gk-72∙ 1.774|  Qi-73ª 0.879|  Xy-74⁺ 0.874|  Gq-75⁺ 0.840|  Bt-76⁺ 0.810|   H-77⁺ 0.768|   U-78⁺ 0.745|  Sq-79⁺ 0.753| *Ua-80⁺ 0.6  |
   39 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Xk-65⁻ 0.17 | *Ic-66⁻ 0.41 | *Yp-67⁻ 0.47 | *Jx-68⁻ 0.56 | *Hb-69⁻ 0.66 | *At-70⁻ 0.73 |  Ny-71⁻ 0.804|  Pw-72⁻ 0.839|  Gk-73⁻ 0.874|  Qi-74ª 0.879|  Xy-75⁺ 0.885|  Gq-76⁺ 0.863|  Bt-77⁺ 0.844|   H-78⁺ 0.799|   U-79⁺ 0.786|  Sq-80⁺ 0.805| *Ua-81⁺ 0.66 |
   40 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Xk-66⁻ 0.05 | *Ic-67⁻ 0.3  | *Yp-68⁻ 0.38 | *Jx-69⁻ 0.5  | *Hb-70⁻ 0.62 | *At-71⁻ 0.7  |  Ny-72⁻ 0.788|  Pw-73⁻ 0.835|  Gk-74∙ 1.762|  Qi-75⁺ 0.897|  Xy-76⁺ 0.914|  Gq-77⁺ 0.903|  Bt-78⁺ 0.895|   H-79⁺ 0.861|   U-80⁺ 0.830|  Sq-81⁺ 0.859| *Ua-82⁺ 0.72 |
   41 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Ic-68⁻ 0.17 | *Yp-69⁻ 0.35 | *Jx-70⁻ 0.48 | *Hb-71⁻ 0.61 | *At-72⁻ 0.71 | *Ny-73⁻ 0.8  |  Pw-74⁻ 0.862|  Gk-75∙ 1.839|  Qi-76∙ 1.894|  Xy-77∙ 1.950|  Gq-78∙ 1.950|  Bt-79∙ 1.954|   H-80∙ 1.907|   U-81∙ 1.866|  Sq-82∙ 1.777|  Ua-83⁺ 0.848|
   42 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Ic-69⁻ 0.06 | *Yp-70⁻ 0.16 | *Jx-71⁻ 0.31 | *Hb-72⁻ 0.45 | *At-73⁻ 0.55 | *Ny-74⁻ 0.65 | *Pw-75⁻ 0.72 |  Gk-76⁻ 0.798|  Qi-77⁻ 0.836|  Xy-78⁻ 0.875|  Gq-79⁻ 0.885|  Bt-80⁻ 0.897|   H-81⁺ 0.884|   U-82⁺ 0.873|  Sq-83⁺ 0.921|  Ua-84⁺ 0.807|
   43 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Yp-71⁻ 0.11 | *Jx-72⁻ 0.27 | *Hb-73⁻ 0.43 | *At-74⁻ 0.54 | *Ny-75⁻ 0.66 | *Pw-76⁻ 0.74 | *Gk-77⁻ 0.82 |  Qi-78⁻ 0.870|  Xy-79∙ 1.838|  Gq-80∙ 1.880|  Bt-81∙ 1.924|   H-82∙ 1.917|   U-83∙ 1.914|  Sq-84∙ 1.864|  Ua-85⁺ 0.910|
   44 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Jx-73⁻ 0.08 | *Hb-74⁻ 0.25 | *At-75⁻ 0.38 | *Ny-76⁻ 0.5  | *Pw-77⁻ 0.59 | *Gk-78⁻ 0.68 | *Qi-79⁻ 0.74 | *Xy-80⁻ 0.8  | *Gq-81⁻ 0.83 | *Bt-82⁻ 0.86 |  *H-83ª 0.87 |  *U-84ª 0.87 | *Sq-85ª 0.94 | *Ua-86ª 0.84 |
   45 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Hb-75⁻ 0.1  | *At-76⁻ 0.24 | *Ny-77⁻ 0.38 | *Pw-78⁻ 0.48 | *Gk-79⁻ 0.58 | *Qi-80⁻ 0.65 | *Xy-81⁻ 0.72 | *Gq-82⁻ 0.76 | *Bt-83⁻ 0.8  |  *H-84⁻ 0.81 |  *U-85⁻ 0.86 | *Sq-86∙ 1.88 | *Ua-87⁺ 0.85 |
   46 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *At-77⁻ 0.13 | *Ny-78⁻ 0.28 | *Pw-79⁻ 0.39 | *Gk-80⁻ 0.5  | *Qi-81⁻ 0.58 | *Xy-82⁻ 0.66 | *Gq-83ª 0.71 | *Bt-84ª 0.76 |  *H-85ª 0.79 |  *U-86⁻ 0.85 | *Sq-87ª 0.93 | *Ua-88ª 0.85 |
   47 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *At-78⁻ 0.01 | *Ny-79⁻ 0.17 | *Pw-80⁻ 0.29 | *Gk-81⁻ 0.41 | *Qi-82⁻ 0.49 | *Xy-83⁻ 0.58 | *Gq-84⁻ 0.64 | *Bt-85⁻ 0.71 |  *H-86⁻ 0.76 |  *U-87⁻ 0.82 | *Sq-88∙ 1.83 | *Ua-89⁻ 0.84 |
   48 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Ny-80⁻ 0.07 | *Pw-81⁻ 0.2  | *Gk-82⁻ 0.32 | *Qi-83⁻ 0.42 | *Xy-84⁻ 0.52 | *Gq-85⁻ 0.59 | *Bt-86⁻ 0.67 |  *H-87⁻ 0.72 |  *U-88⁻ 0.79 | *Sq-89∙ 1.8  | *Ua-90⁻ 0.83 |
   49 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Pw-82⁻ 0.09 | *Gk-83⁻ 0.23 | *Qi-84⁻ 0.33 | *Xy-85⁻ 0.44 | *Gq-86⁻ 0.52 | *Bt-87⁻ 0.61 |  *H-88⁻ 0.67 |  *U-89⁻ 0.75 | *Sq-90∙ 1.73 | *Ua-91⁻ 0.81 |
   50 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Pw-83⁻ 0.0  | *Gk-84⁻ 0.14 | *Qi-85⁻ 0.25 | *Xy-86⁻ 0.37 | *Gq-87⁻ 0.46 | *Bt-88⁻ 0.55 |  *H-89⁻ 0.63 |  *U-90⁻ 0.71 | *Sq-91∙ 1.67 | *Ua-92⁻ 0.79 |
   51 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Gk-85⁻ 0.03 | *Qi-86⁻ 0.16 | *Xy-87⁻ 0.29 | *Gq-88⁻ 0.38 | *Bt-89⁻ 0.49 |  *H-90⁻ 0.57 |  *U-91⁻ 0.66 | *Sq-92∙ 1.58 | *Ua-93⁻ 0.75 |
   52 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              | *Qi-87⁻ 0.07 | *Xy-88⁻ 0.21 | *Gq-89⁻ 0.31 | *Bt-90⁻ 0.42 |  *H-91⁻ 0.51 |  *U-92⁻ 0.61 | *Sq-93⁻ 0.75 | *Ua-94⁻ 0.72 |
